AHERA,"“AHERA” means the Asbestos Hazard Emergency Response Act of 1986, 15 U.S.C. s. 2601, and any rules adopted thereunder."
ASHARA,“ASHARA” means the Asbestos School Hazard Reauthorization Act.
ATV,"“ATV” means any motorized off-highway or all-terrain vehicle 50 inches or less in width, having a dry weight of 1,200 pounds or less, designed to travel on three or more nonhighway tires, having a seat designed to be straddled by the operator and handlebars for steering control, and intended for use by a single operator with no passenger."
ATV,"“ATV” means any motorized off-highway or all-terrain vehicle 50 inches or less in width, having a dry weight of 1,200 pounds or less, designed to travel on three or more nonhighway tires, having a seat designed to be straddled by the operator and handlebars for steering control, and intended for use by a single operator and with no passenger."
AV,"“AV” means the adjusted volume for refrigerators, refrigerator-freezers, and freezers, as defined in the applicable test procedure."
CC,"“Sponsor” means any Class “C,” Class “MA,” or Class “M” licensee who supervises and maintains under his or her direction and control a Class “CC” intern; or any Class “E” or Class “MR” licensee who supervises and maintains under his or her direction and control a Class “EE” intern."
EPCRA,"“EPCRA” means the Emergency Planning and Community Right-to-Know Act of 1986, title III of the Superfund Amendments and Reauthorization Act of 1986, ss. 300-329, 42 U.S.C. ss. 11001 et seq.; and federal regulations adopted thereunder."
FHURS,“FHURS” means the Florida Hospital Uniform Reporting System developed by the agency.
FVC,"“FVC” means forced vital capacity, which is the maximal volume of air expired with maximum effort from a position of full inspiration."
GAAP,“GAAP” means United States generally accepted accounting principles consistently applied.
GAAP,“GAAP” means generally accepted accounting principles.
GASB,“GASB” means the Governmental Accounting Standards Board.
GFOA,“GFOA” means the Government Finance Officers Association.
GRAA,“GRAA” means gross revenue per adjusted admission.
HMO,“HMO” means a health maintenance organization possessing a valid certificate of authority issued by the office pursuant to part I of chapter 641.
HVAC,"“HVAC” means a system of heating, ventilating, and air-conditioning."
MR,"“Sponsor” means any Class “C,” Class “MA,” or Class “M” licensee who supervises and maintains under his or her direction and control a Class “CC” intern; or any Class “E” or Class “MR” licensee who supervises and maintains under his or her direction and control a Class “EE” intern."
