AAPFCO,"""AAPFCO"" means the Association of American Plant Food Control Officials."
ABIH,"""American Board of Industrial Hygiene"" or ""ABIH"" means a nonprofit corporation established to improve the practice and educational standards of the profession of industrial hygiene by certifying individuals who meet its education, experience, examination and maintenance requirements."
ACM,"""Asbestos-containing materials"" or ""ACM"" means any material or product which contains more than 1.0 percent asbestos or such other percentage as established by EPA final rule."
ALI,"""Automatic location identification"" or ""ALI"" means the automatic display at a PSAP of information defining the emergency call location, which information shall identify the floor name or number, room name or number, building name or number, cubicle name or number, and office name or number, as applicable, or imparts other information that is sufficiently specific to provide the emergency responders with the ability to locate the telephone station from which the emergency call was placed."
ALI,"""Automatic location identification"" or ""ALI"" means a telecommunications network capability that enables the automatic display of information defining the geographical location of the telephone used to place a wireless Enhanced 9-1-1 call."
ALI,"""Automatic location identification"" or ""ALI"" means a telephone network capability that enables the automatic display of information defining the geographical location of the telephone used to place a wireline 9-1-1 call."
ANI,"""Automatic number identification"" or ""ANI"" means the automatic display at a PSAP of a telephone number that a PSAP may use to call the telephone station from which the emergency call was placed."
ANI,"""Automatic number identification"" or ""ANI"" means a telecommunications network capability that enables the automatic display of the telephone number used to place a wireless Enhanced 9-1-1 call."
ANI,"""Automatic number identification"" or ""ANI"" means a telephone network capability that enables the automatic display of the telephone number used to place a wireline 9-1-1 call."
ASP,"""Associate Safety Professional"" or ""ASP"" means an individual who has been certified by the Board of Certified Safety Professionals as an Associate Safety Professional and whose certification has not lapsed or been revoked."
BCSP,"""Board of Certified Safety Professionals"" or ""BCSP"" means a nonprofit corporation established to improve the practice and educational standards of the safety profession by certifying individuals who meet its education, experience, examination, and maintenance requirements."
CA,"""Controlled atmosphere storage"" or ""CA"" means any storage warehouse consisting of one or more rooms in any one facility in which atmosphere gases are controlled in their amount and in degrees of temperature for the purpose of controlling the condition and maturity of fruit."
CAIH,"""Certified Associate Industrial Hygienist"" or ""CAIH"" means an individual who has been certified by the American Board of Industrial Hygiene as a Certified Associate Industrial Hygienist and whose certification has not lapsed or been revoked."
CBCC,"""Community-based continuing care"" or ""CBCC"" means a program providing or committing to provide a range of services, including long-term care services, to an individual, other than an individual related by blood or marriage, (i) pursuant to an agreement, including mutually terminable contracts, effective for the life of the individual or for a period in excess of one year; and (ii) in consideration of the payment of an entrance fee. ""Community-based continuing care"" or ""CBCC"" also means the provision of the enumerated services in the individual's private residence as long as medically feasible and the provision of facility-based long-term care services when required, either directly or indirectly through affiliated services or through contractual arrangements."
CHST,"""Construction Health and Safety Technologist"" or ""CHST"" means an individual who, by virtue of education, experience and examination, has been certified by the American Board of Industrial Hygiene and the Board of Certified Safety Professionals as a Construction Health and Safety Technologist and whose certification has not lapsed or been revoked."
CIH,"""Certified Industrial Hygienist"" or ""CIH"" means an individual who has been certified by the American Board of Industrial Hygiene as a Certified Industrial Hygienist and whose certification has not lapsed or been revoked."
CIO,"""Chief Information Officer"" or ""CIO"" means the Chief Information Officer appointed pursuant to § 2.2-2005."
